filename,rec_name,mic_model,gain_dB,speaker_mic_distance,pbk_start,pbk_stop,silence_start,silence_stop,sweepset_start,sweepset_stop
2024-08-19\240819_0323.wav,1Pa_tone,GRAS1/4,36,NA,NA,NA,NA,NA,NA,NA
2024-08-19\240819_0324.wav,playback_rec,GRAS1/4,56,NA,NA,NA,NA,NA,7.801,NA
2024-08-19\240819_0327.wav,playback_rec,SENNHEISER-ME66-ONLY,30,NA,NA,NA,NA,NA,8.036,NA
2024-08-19\240819_0327.wav,playback_rec,SENNHEISER-ME66-ONLY,30,NA,NA,NA,NA,NA,16.201,NA
2024-08-19\240819_0327.wav,playback_rec,SENNHEISER-ME66-ONLY,30,NA,NA,NA,NA,NA,24.373,NA
2024-08-19\240819_0330.wav,playback_rec,GRAS1/4,56,NA,8.5,41.2,NA,NA,8.693,NA
2024-08-19\240819_0331.wav,1Pa_tone,GRAS1/4,36,NA,NA,NA,NA,NA,NA,NA
2024-06-24\240618_0313.wav,1Pa_tone,GRAS1/4,40,NA,NA,NA,NA,NA,NA,NA
2024-06-24\240618_0314.wav,playback_rec,GRAS1/4,60,3.35,NA,NA,NA,NA,NA,NA
2024-06-24\240618_0317.wav,playback_rec,SENNHEISER-ME66-ONLY,36,3.34,NA,NA,NA,NA,NA,NA
2024-06-24\240618_0318.wav,1Pa_tone,GRAS1/4,46,NA,NA,NA,NA,NA,NA,NA
2024-06-24\240618_0319.wav,playback_rec,GRAS1/4,60,3.35,NA,NA,NA,NA,NA,NA
